StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q7,Q8,Q8a,Q9,Q9a,Q9b,Q10,Q11,Q11a,Q11b,Q12,Q13,Q14,Q14a,Q15,Q15a,Q16,Q16a,Q16b,Q17,Q17a,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q25a,Q26,Q26a,Q27,Q27a,Q28,Q28a,Q29,Q29a,Q29b,Q29c,Q29d
3/31/2020 19:00,3/31/2020 19:08,IP Address,173.24.211.235,100,437,True,3/31/2020 19:08,R_1lcWNY5C8HjxABP,,,,,41.8527984619141,-90.2070999145508,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2020 6:18,4/3/2020 6:31,IP Address,24.231.178.210,100,786,True,4/3/2020 6:31,R_3mlArNarrjoBqAp,,,,,42.4579925537109,-83.9056015014648,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,Yes,,,,,,,,,,Yes,,,,,,Yes,,,,
4/4/2020 13:15,4/4/2020 13:20,Survey Preview,,100,277,True,4/4/2020 13:20,R_BXNpPePFAnMoP3b,,,,,42.2709045410156,-83.7267990112305,preview,EN,44,Female,Michigan,,White,,Psychologist,,Yes,Week 3 March 15-21,1,Somewhat satisfied,Somewhat satisfied,Yes,Not applicable,,,8,9,Yes,I am working more hours,Yes,I am starting work earlier most days,Yes,I am going to bed later,I am waking up later,No,,Yes,I am drinking more alcohol,2-3 times a week,4 or more times a week,Never,Never,No,0-.5 hour,Yes,0-0.5 hour,Yes,I am exercising/moving less,Yes,I am eating more healthy foods,Yes,I am eating more food each day,Yes,Slightly worse,"I am slightly more anxious,I am slightly more irritable",,
4/6/2020 15:17,4/6/2020 21:09,IP Address,104.201.78.190,100,21107,True,4/6/2020 21:09,R_ZKWqSFMV5OmYKYN,,,,,41.8527984619141,-90.2070999145508,anonymous,EN,31,Male,Iowa,,White,,Physician ,,No,,2,,,No,Not applicable,,,6,5.5,Yes,I am working more hours,No,,No,,,No,,Yes,I am drinking more alcohol,2-3 times a week,2-3 times a week,Never,Never,Yes,1-2 hours,Yes,1-2 hours,No,,Yes,I am eating more healthy foods,No,,Yes,Slightly worse,I am slightly more anxious,,
4/8/2020 18:38,4/8/2020 18:46,IP Address,68.40.121.72,100,446,True,4/8/2020 18:46,R_1pogUg2ze2at4dC,,,,,42.1699981689453,-83.7818984985352,anonymous,EN,35,Female,Michigan,Non Latino/Hispanic,White,,psychologist,,Yes,Week 3 March 15-21,1,Somewhat satisfied,Somewhat satisfied,No,Not applicable,,,7,8,No,,No,,Yes,I am going to bed later,I am waking up later,Yes,I am napping more,No,,2-4 times a month,2-4 times a month,Never,Never,No,0-.5 hour,No,,No,,No,,No,,Yes,Moderately worse,,I am moderately more irritable,
4/8/2020 19:51,4/8/2020 21:23,IP Address,73.145.177.145,100,5555,True,4/8/2020 21:23,R_3qloTyx6Vfyth8V,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,33,Female,Michigan,Non Latino/Hispanic,White,,research,,Yes,Week 2 March 8-14,2,,,No,Not applicable,,,8,9,No,,No,,Yes,I am going to bed later,I am waking up later,No,,No,,2-4 times a month,2-4 times a month,Never,Never,Yes,1-2 hours,Yes,3+ hours,Yes,I am exercising/moving less,Yes,I am eating more healthy foods,Yes,I am eating more food each day,Yes,Slightly worse,"I am slightly more depressed,I am slightly more irritable",,
4/10/2020 7:44,4/10/2020 7:46,IP Address,98.250.82.17,100,159,True,4/10/2020 7:46,R_1n2h7Sdm4nH6EEK,,,,,42.55859375,-83.4773025512695,anonymous,EN,39,Female,Michigan,Non Latino/Hispanic,White,,RN in admin role,,Yes,Week 3 March 15-21,2,,,Yes,Yes,2,Under 12 years old,7,7,Yes,I am working more hours,No,,Yes,I am going to bed later,I am waking up later,No,,Yes,I am drinking more alcohol,2-3 times a week,4 or more times a week,Never,Never,Yes,0.51 – 1 hour,No,,No,,Yes,I am eating more healthy foods,Yes,I am eating less food each day,Yes,Moderately worse,,I am moderately more anxious,
4/10/2020 7:44,4/10/2020 7:47,IP Address,173.14.53.101,100,185,True,4/10/2020 7:47,R_2EoAeXtRW1PPfwC,,,,,42.2440032958984,-83.5822982788086,anonymous,EN,35,Female,Michigan,Non Latino/Hispanic,White,,Physician (resident),,Yes,Week 3 March 15-21,1,Extremely satisfied,Somewhat satisfied,Yes,Not applicable,,,5-8,4-5,Yes,I am working more hours,No,,Yes,I am going to bed later,I waking up earlier,No,,No,,2-3 times a week,2-3 times a week,Once a month or less,Never,No,0.51 – 1 hour,No,,No,,Yes,I am eating less healthy foods,Yes,I am eating more food each day,Yes,Slightly worse,I am slightly more anxious,,
4/10/2020 7:44,4/10/2020 7:47,IP Address,68.42.76.31,100,184,True,4/10/2020 7:47,R_2QR4uwaXVsKFZ5c,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,28,Female,Michigan,Non Latino/Hispanic,White,,Study Coordinator (conducting online therapy),,Yes,Week 3 March 15-21,2,,,Yes,Yes,1,Under 12 years old,7,7,No,,Yes,I am ending work later most days,No,,,No,,Yes,I am drinking more alcohol,Once a month or less,2-4 times a month,Never,Never,Yes,1-2 hours,Yes,0.51-1 hour,Yes,I am exercising/moving more,No,,Yes,I am eating more food each day,Yes,Moderately worse,,I am moderately more anxious,
4/10/2020 7:44,4/10/2020 7:47,IP Address,141.214.17.232,100,192,True,4/10/2020 7:47,R_2ro9PGJEoIb7izX,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,71,Male,Michigan,Non Latino/Hispanic,White,,psychologist,,No,,2,,,No,Yes,2,12-17 years old,6 and1/2,6 and 1/2,No,,No,,No,,,No,,No,,2-4 times a month,2-4 times a month,Never,Never,Yes,0-.5 hour,No,,No,,No,,No,,No,,,,
4/10/2020 7:44,4/10/2020 7:47,IP Address,141.214.17.243,100,174,True,4/10/2020 7:47,R_2rACIonlFzlKUfH,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,59,Female,Missouri,Non Latino/Hispanic,White,,Nursing Director,,No,,2,,,No,No,,,8,7,Yes,I am working more hours,Yes,I am ending work later most days,Yes,I am going to bed later,I waking up earlier,No,,No,,Once a month or less,Once a month or less,Never,Never,Yes,2-3 hours,Yes,1-2 hours,Yes,I am exercising/moving less,Yes,I am eating less healthy foods,Yes,I am eating more food each day,Yes,Slightly worse,I am slightly more irritable,,
4/10/2020 7:43,4/10/2020 7:48,IP Address,67.177.141.48,100,272,True,4/10/2020 7:48,R_3RqJjUBCQlwUofG,,,,,42.2709045410156,-83.7267990112305,anonymous,EN,29,Female,Michigan,Non Latino/Hispanic,White,,Research coordinator ,,Yes,Week 3 March 15-21,2,,,No,Not applicable,,,7,6,No,,No,,Yes,I am going to bed later,I am waking up later,Yes,I am napping more,Yes,I am drinking more alcohol,Once a month or less,4 or more times a week,Never,Never,Yes,1-2 hours,Yes,0.51-1 hour,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,Yes,I am eating more food each day,No,,,,
4/10/2020 7:43,4/10/2020 7:48,IP Address,96.27.174.250,100,280,True,4/10/2020 7:48,R_1oBAvbwq6fMRGQg,,,,,42.3755035400391,-83.2882995605469,anonymous,EN,29,Female,Michigan,Non Latino/Hispanic,White,,study coordinator,,Yes,Week 3 March 15-21,2,,,No,Not applicable,,,8,7.5,Yes,I am working more hours,No,,Yes,I am going to bed later,I am waking up later,No,,No,,4 or more times a week,4 or more times a week,Never,Never,Yes,0-.5 hour,Yes,0.51-1 hour,Yes,I am exercising/moving more,Yes,I am eating more healthy foods,Yes,I am eating more food each day,Yes,Slightly worse,All of the above,,
4/10/2020 7:45,4/10/2020 7:48,IP Address,23.115.161.5,100,165,True,4/10/2020 7:48,R_3qf14wi7TMF2Q3v,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,41,Male,Michigan,Non Latino/Hispanic,Asian,,Psychiatrist,,No,,2,,,No,Yes,2,Under 12 years old,6.5,6,Yes,I am working fewer hours,Yes,"I am starting work later most days,I am ending work later most days",Yes,I am going to bed earlier,I waking up earlier,No,,No,,Once a month or less,Once a month or less,Never,Never,Yes,0-.5 hour,Yes,0.51-1 hour,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,Yes,I am eating more food each day,No,,,,
4/10/2020 7:45,4/10/2020 7:48,IP Address,172.3.64.188,100,194,True,4/10/2020 7:48,R_1GuZZgo1Thy28t2,,,,,42.4557037353516,-83.6541976928711,anonymous,EN,32,Female,Michigan,Non Latino/Hispanic,White,,Administration,,Yes,Week 3 March 15-21,2,,,No,Yes,2,Under 12 years old,7,7,No,,Yes,"I am starting work later most days,I am ending work earlier most days",No,,,No,,Yes,I am drinking more alcohol,2-3 times a week,4 or more times a week,Never,Never,Yes,1-2 hours,Yes,1-2 hours,No,,Yes,I am eating less healthy foods,Yes,I am eating more food each day,Yes,Moderately worse,,I am moderately more irritable,
4/10/2020 7:44,4/10/2020 7:48,IP Address,99.53.108.54,100,262,True,4/10/2020 7:48,R_3nSknCocoOsXbfI,,,,,42.2440032958984,-83.5822982788086,anonymous,EN,59,Female,Michigan,Non Latino/Hispanic,White,,research staff,,Yes,Week 3 March 15-21,2,,,No,Yes,1,Under 12 years old,8,8,Yes,I am working fewer hours,Yes,"I am starting work later most days,I am ending work earlier most days",Yes,I am going to bed later,I am waking up later,No,,No,,Once a month or less,Once a month or less,Never,Never,Yes,0.51 – 1 hour,No,,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,No,,Yes,Moderately worse,,I am moderately more anxious,
4/10/2020 7:44,4/10/2020 7:49,IP Address,69.14.50.108,100,261,True,4/10/2020 7:49,R_1LAm7ofNnvh8UUz,,,,,42.3975067138672,-83.3732986450195,anonymous,EN,48,Female,Michigan,Non Latino/Hispanic,White,,Admin Manager,,Yes,Week 3 March 15-21,2,,,No,Yes,2,12-17 years old,6,6,No,,Yes,"I am starting work later most days,I am ending work later most days",Yes,My bedtime has not changed,I am waking up later,No,,No,,Once a month or less,Once a month or less,Never,Never,Yes,0.51 – 1 hour,No,,Yes,I am exercising/moving more,No,,No,,Yes,Moderately better,,,
4/10/2020 7:45,4/10/2020 7:49,IP Address,68.56.148.217,100,249,True,4/10/2020 7:49,R_3ku1xnYfYuhPhyZ,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,62,Female,Michigan,Non Latino/Hispanic,White,,mental health research,,Yes,Week 3 March 15-21,2,,,Yes,No,,,7,8,No,,No,,Yes,I am going to bed later,I am waking up later,No,,No,,Once a month or less,Once a month or less,Never,Never,Yes,2-3 hours,Yes,0.51-1 hour,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,Yes,I am eating more food each day,No,,,,
4/10/2020 7:44,4/10/2020 7:50,IP Address,107.5.16.137,100,306,True,4/10/2020 7:50,R_qQwMX61WoyxtAsN,,,,,42.3695068359375,-83.4768981933594,anonymous,EN,43,Female,Michigan,Non Latino/Hispanic,White,,Psychologist ,,Yes,Week 3 March 15-21,2,,,No,Yes,3,Under 12 years old,7,7,Yes,I am working fewer hours,Yes,"I am starting work later most days,I am ending work later most days",Yes,I am going to bed later,I am waking up later,No,,Yes,I am drinking more alcohol,Never,2-4 times a month,Never,Never,Yes,1-2 hours,Yes,0.51-1 hour,No,,Yes,I am eating more healthy foods,No,,Yes,Slightly worse,"I am slightly more anxious,I am slightly more irritable",,
4/10/2020 7:46,4/10/2020 7:50,IP Address,96.35.106.170,100,243,True,4/10/2020 7:50,R_2AZjmbon95sbREq,,,,,42.4579925537109,-83.9056015014648,anonymous,EN,44,Female,Michigan,Non Latino/Hispanic,White,,Research Outreach Coordinator,,Yes,Week 3 March 15-21,2,,,Yes,Yes,3,"Under 12 years old,12-17 years old,18-24 years old",8.5,8.5,No,,No,,No,,,No,,No,,2-4 times a month,2-4 times a month,Never,Never,Yes,1-2 hours,No,,Yes,I am exercising/moving more,No,,No,,No,,,,
4/10/2020 7:47,4/10/2020 7:50,IP Address,68.48.242.188,100,186,True,4/10/2020 7:50,R_ykg2U5E5jxt2AkF,,,,,42.1699981689453,-83.7818984985352,anonymous,EN,23,Female,Michigan,Non Latino/Hispanic,Asian,,Healthcoach,,Yes,Week 1 March 1-7,1,Somewhat satisfied,Somewhat satisfied,No,Not applicable,,,7,7,No,,Yes,"I am starting work earlier most days,I am ending work earlier most days",Yes,I am going to bed earlier,I waking up earlier,No,,No,,Once a month or less,Once a month or less,Never,Never,Yes,0.51 – 1 hour,Yes,3+ hours,Yes,I am exercising/moving less,Yes,I am eating more healthy foods,Yes,I am eating more food each day,Yes,Moderately worse,,All of the above,
4/10/2020 7:44,4/10/2020 7:50,IP Address,68.42.209.166,100,358,True,4/10/2020 7:50,R_sMX9lEwGZX5G4mJ,,,,,43.0760955810547,-83.847297668457,anonymous,EN,34,Female,Michigan,Non Latino/Hispanic,White,,Clinical Research Coordinator,,Yes,Week 3 March 15-21,2,,,No,Yes,3,Under 12 years old,6.5,7.5,Yes,I am working fewer hours,Yes,I am ending work earlier most days,Yes,I am going to bed earlier,I am waking up later,No,,No,,Never,Never,Never,Never,Yes,0-.5 hour,Yes,0-0.5 hour,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,Yes,I am eating more food each day,Yes,Slightly better,,,
4/10/2020 7:48,4/10/2020 7:51,IP Address,66.188.55.58,100,142,True,4/10/2020 7:51,R_3oBmV3gRZiba9m8,,,,,42.4579925537109,-83.9056015014648,anonymous,EN,38,Male,Michigan,Non Latino/Hispanic,White,,Physician,,Yes,Week 4 March 22-28,1,Somewhat satisfied,Somewhat satisfied,Yes,Yes,2,"Under 12 years old,12-17 years old",8,7,No,,No,,Yes,I am going to bed later,I am waking up later,No,,No,,2-4 times a month,2-4 times a month,2-4 times a month,Never,Yes,2-3 hours,Yes,2-3 hours,No,,No,,No,,Yes,Slightly worse,I am slightly more anxious,,
4/10/2020 7:46,4/10/2020 7:51,IP Address,23.115.163.49,100,287,True,4/10/2020 7:51,R_2Sf6iJYD5PqJ9yK,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,51,Female,Michigan,Non Latino/Hispanic,Asian,,Administrative Assistant ,,Yes,Week 3 March 15-21,1,Extremely satisfied,Extremely satisfied,No,Yes,1,12-17 years old,6-7 hours ,5-6 hours ,No,,Yes,I am starting work later most days,No,,,No,,No,,Once a month or less,Never,Never,Never,Yes,3+ hours,Yes,3+ hours,Yes,I am exercising/moving less,Yes,I am eating more healthy foods,Yes,I am eating more food each day,No,,,,
4/10/2020 7:44,4/10/2020 7:51,IP Address,68.56.140.232,100,404,True,4/10/2020 7:51,R_2BfA2ixySC8GJPo,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,44,Female,Michigan,Non Latino/Hispanic,White,,Social Worker,,Yes,Week 5 March 29- April 4,1,Somewhat dissatisfied,Somewhat satisfied,Yes,Yes,2,"Under 12 years old,12-17 years old",8,7,No,,No,,No,,,No,,No,,4 or more times a week,2-3 times a week,Never,Never,Yes,1-2 hours,Yes,3+ hours,No,,No,,Yes,I am eating more food each day,Yes,Slightly worse,All of the above,,
4/10/2020 7:44,4/10/2020 7:51,IP Address,68.49.96.229,100,414,True,4/10/2020 7:51,R_3F8ZW6x71ivoZjP,,,,,42.331298828125,-83.4655990600586,anonymous,EN,59,Female,Michigan,Non Latino/Hispanic,White,,administrative and project coordinator,,Yes,Week 3 March 15-21,2,,,No,Not applicable,,,7.75,7,No,,Yes,I am ending work later most days,Yes,I am going to bed later,I am waking up later,Yes,I am napping more,Yes,I am drinking more alcohol,2-3 times a week,4 or more times a week,Never,Never,Yes,1-2 hours,Yes,1-2 hours,Yes,I am exercising/moving more,Yes,I am eating less healthy foods,Yes,I am eating more food each day,Yes,Slightly worse,I am slightly more anxious,,
4/10/2020 7:44,4/10/2020 7:51,IP Address,73.145.164.135,100,431,True,4/10/2020 7:51,R_s4DEIosTATLVldL,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,25,Male,Michigan,Non Latino/Hispanic,White,,Research Assistant,,Yes,Week 3 March 15-21,2,,,No,Not applicable,,,7,8,No,,Yes,"I am starting work later most days,I am ending work earlier most days",Yes,I am going to bed later,I am waking up later,No,,Yes,I am drinking more alcohol,Once a month or less,4 or more times a week,Never,Never,Yes,2-3 hours,Yes,1-2 hours,Yes,I am exercising/moving more,Yes,I am eating more healthy foods,No,,Yes,Slightly better,,,
4/10/2020 7:44,4/10/2020 7:51,IP Address,73.145.168.111,100,406,True,4/10/2020 7:51,R_r0XIs8Z28FefhwB,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,36,Male,Michigan,Non Latino/Hispanic,White,,Psychologist,,Yes,Week 2 March 8-14,1,Somewhat satisfied,Somewhat satisfied,No,Yes,1,Under 12 years old,7,8,Yes,I am working fewer hours,Yes,"I am starting work later most days,I am ending work later most days",Yes,I am going to bed later,I am waking up later,No,,No,,2-3 times a week,2-3 times a week,Never,Never,Yes,1-2 hours,No,,Yes,I am exercising/moving less,No,,Yes,I am eating more food each day,Yes,Slightly better,,,
4/10/2020 7:46,4/10/2020 7:51,IP Address,141.214.17.242,100,329,True,4/10/2020 7:51,R_qU9PrA8O2t8lxtL,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,29,Male,Michigan,Non Latino/Hispanic,White,,Administrative Assistant ,,Yes,Week 3 March 15-21,2,,,Yes,Not applicable,,,7,8,No,,No,,Yes,I am going to bed later,I am waking up later,No,,No,,2-4 times a month,2-4 times a month,Never,Never,No,0-.5 hour,Yes,0-0.5 hour,No,,Yes,I am eating less healthy foods,No,,No,,,,
4/10/2020 7:50,4/10/2020 7:52,IP Address,75.38.198.53,100,115,True,4/10/2020 7:52,R_55SUDlg5Vqir32x,,,,,42.2440032958984,-83.5822982788086,anonymous,EN,39,Female,Michigan,Non Latino/Hispanic,White,,Administrator,,Yes,Week 3 March 15-21,2,,,No,Not applicable,,,5,5,No,,No,,No,,,No,,No,,Once a month or less,Once a month or less,Never,Never,Yes,1-2 hours,No,,No,,No,,Yes,I am eating more food each day,No,,,,
4/10/2020 7:47,4/10/2020 7:52,IP Address,141.214.17.232,100,297,True,4/10/2020 7:52,R_2qgZLx83v7dYz7B,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,48,Male,Michigan,Latino/Hispanic,White,,Therapist (social worker),,No,,2,,,No,Yes,1,12-17 years old,6-8,5-6,No,,No,,Yes,My bedtime has not changed,My waketime has not changed,No,,No,,4 or more times a week,4 or more times a week,Never,Never,No,1-2 hours,No,,Yes,I am exercising/moving more,No,,No,,Yes,Moderately worse,,"I am moderately more depressed,I am moderately more anxious",
4/10/2020 7:46,4/10/2020 7:52,IP Address,141.214.17.220,100,316,True,4/10/2020 7:52,R_24oMA0KedlHoAQ3,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,63,Female,Ohio,Non Latino/Hispanic,White,,Patient Svcs Associate,,Yes,Week 5 March 29- April 4,2,,,Yes,Not applicable,,,6.5-7,8,Yes,I am working fewer hours,Yes,I am starting work later most days,Yes,I am going to bed later,I am waking up later,No,,No,,2-4 times a month,2-4 times a month,Never,Never,Yes,0.51 – 1 hour,No,,Yes,I am exercising/moving more,No,,Yes,I am eating more food each day,Yes,Moderately worse,,"I am moderately more depressed,I am moderately more anxious",
4/10/2020 7:46,4/10/2020 7:52,IP Address,162.195.166.139,100,337,True,4/10/2020 7:52,R_qQSvZiegiVPQqpb,,,,,42.2196044921875,-83.6045989990234,anonymous,EN,57,Female,Michigan,Non Latino/Hispanic,White,,Research Administrator (SAPOC),,Yes,Week 3 March 15-21,2,,,Yes,Not applicable,,,5.5,8.5,No,,No,,Yes,My bedtime has not changed,I waking up earlier,No,,No,,Once a month or less,Once a month or less,Never,Never,Yes,0.51 – 1 hour,No,,Yes,I am exercising/moving less,Yes,I am eating more healthy foods,No,,Yes,Much better,,,
4/10/2020 7:50,4/10/2020 7:52,IP Address,97.87.239.45,100,134,True,4/10/2020 7:52,R_1HjbLj2J1TuTOSx,,,,,42.4288940429688,-83.7827987670898,anonymous,EN,28,Female,Michigan,Non Latino/Hispanic,White,,therapist ,,Yes,Week 2 March 8-14,2,,,No,Yes,2,"12-17 years old,18-24 years old",7,8,Yes,I am working fewer hours,Yes,I am ending work later most days,Yes,I am going to bed later,I am waking up later,No,,No,,2-4 times a month,2-4 times a month,Never,Never,Yes,2-3 hours,Yes,1-2 hours,No,,No,,No,,Yes,Moderately worse,,"I am moderately more depressed,I am moderately more anxious",
